"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",63,88,72,144
"AR",65,4,85,17
"ARID3A",35,102,158,54
"ARNT",113,73,99,168
"ARNTL",155,98,133,138
"ASCL1",185,161,103,148
"ASCL2",64,43,178,9
"ATF1",144,146,77,104
"ATF2",189,187,182,190
"ATF3",14,7,23,61
"BACH1",171,163,114,177
"BACH2",49,59,24,55
"BARX2",101,100,187,90
"BATF",84,118,140,157
"BCL11A",32,56,26,67
"BCL6",55,37,109,11
"BHLHE40",105,83,160,134
"CEBPA",27,33,6,70
"CEBPB",125,144,180,95
"CEBPD",43,54,60,78
"CLOCK",3,1,11,38
"CTCF",176,162,90,143
"CTCFL",10,8,81,7
"DUX4",21,34,43,64
"E2F1",2,2,29,1
"E2F2",33,17,84,2
"E2F3",154,184,150,175
"E2F4",47,69,119,94
"E2F6",91,164,138,26
"E2F7",70,19,46,33
"E2F8",141,186,126,151
"EBF1",30,101,18,69
"EGR1",187,152,70,163
"EGR2",112,136,173,47
"EHF",190,177,135,184
"ELF1",41,45,129,179
"ELK1",48,124,34,121
"ELK3",72,49,124,16
"ELK4",156,96,127,71
"EPAS1",90,70,155,108
"ESR1",20,57,118,36
"ESR2",163,81,154,113
"ESRRA",52,20,4,52
"ETS2",169,131,104,164
"ETV1",104,174,169,122
"ETV5",83,53,37,86
"ETV6",193,193,191,193
"ETV7",143,156,168,110
"FOS",119,112,10,106
"FOSL1",76,78,125,68
"FOSL2",60,15,148,29
"FOXA1",108,170,170,97
"FOXA2",1,3,142,43
"FOXD2",46,11,20,102
"FOXG1",116,52,25,24
"FOXH1",106,122,101,173
"FOXK1",172,165,152,112
"FOXM1",59,109,139,46
"FOXO3",38,46,51,34
"FOXP1",77,86,59,156
"FOXP2",28,94,108,31
"FOXP3",173,155,7,153
"GATA1",123,110,183,65
"GATA2",36,134,175,135
"GATA3",142,6,27,15
"GATA4",75,38,19,129
"GLI2",128,21,89,98
"GLIS1",23,80,132,74
"GMEB1",78,120,66,160
"GMEB2",39,63,13,107
"GRHL2",4,93,31,37
"GTF2B",192,192,110,192
"GTF2I",58,99,53,92
"HEY1",5,26,186,50
"HIF1A",122,129,172,23
"HINFP",158,97,58,118
"HNF1B",88,145,136,73
"HNF4A",131,89,2,56
"HNF4G",7,92,87,81
