"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",151,151,160,149
"AR",61,9,19,34
"ARID3A",62,25,53,129
"ARNT",130,79,84,181
"ARNTL",104,6,94,30
"ASCL1",126,180,145,174
"ASCL2",63,93,51,138
"ATF1",137,156,133,124
"ATF2",81,160,183,183
"ATF3",7,29,115,3
"BACH1",121,123,171,93
"BACH2",36,31,32,81
"BARX2",38,116,124,163
"BATF",111,84,159,187
"BCL11A",181,45,81,63
"BCL6",21,158,33,71
"BHLHE40",159,104,127,153
"CEBPA",72,28,166,180
"CEBPB",64,191,88,162
"CEBPD",74,33,169,111
"CLOCK",9,38,78,106
"CTCF",78,46,17,9
"CTCFL",26,4,163,130
"DUX4",115,37,25,90
"E2F1",1,1,1,65
"E2F2",174,23,61,39
"E2F3",146,173,111,85
"E2F4",133,54,66,176
"E2F6",32,5,6,12
"E2F7",20,3,64,50
"E2F8",119,143,95,60
"EBF1",88,148,113,143
"EGR1",5,121,132,119
"EGR2",107,112,74,51
"EHF",176,184,189,175
"ELF1",29,18,69,74
"ELK1",80,22,92,169
"ELK3",3,147,93,28
"ELK4",182,181,126,157
"EPAS1",55,150,13,41
"ESR1",86,52,41,161
"ESR2",58,53,135,69
"ESRRA",50,57,3,47
"ETS2",161,49,184,117
"ETV1",100,176,146,26
"ETV5",16,97,144,11
"ETV6",188,186,191,179
"ETV7",31,178,162,151
"FOS",139,107,161,72
"FOSL1",40,13,30,16
"FOSL2",75,162,4,37
"FOXA1",190,171,192,19
"FOXA2",8,131,2,1
"FOXD2",101,43,114,86
"FOXG1",6,124,83,100
"FOXH1",147,103,121,107
"FOXK1",141,157,123,54
"FOXM1",99,155,27,164
"FOXO3",125,44,34,73
"FOXP1",82,66,143,148
"FOXP2",57,30,120,87
"FOXP3",45,100,117,29
"GATA1",96,24,48,22
"GATA2",162,141,68,101
"GATA3",77,7,158,154
"GATA4",143,166,60,67
"GLI2",59,14,11,105
"GLIS1",14,42,39,25
"GMEB1",183,74,101,142
"GMEB2",84,140,125,61
"GRHL2",67,115,59,48
"GTF2B",192,194,194,17
"GTF2I",53,51,153,6
"HEY1",28,146,87,40
"HIF1A",66,64,170,97
"HINFP",98,113,128,132
"HNF1B",110,188,122,89
"HNF4A",49,11,5,46
"HNF4G",150,177,151,121
"HOXA1",124,87,139,172
"HOXA4",169,169,185,150
"HOXA6",175,108,38,38
"HOXB13",87,35,149,62
"HOXC6",34,183,157,137
"HSF1",52,32,31,95
"HSF2",56,182,18,178
"IRF1",170,48,100,194
"IRF2",118,105,131,155
"IRF3",186,163,102,185
"IRF4",2,61,37,15
"JUN",157,81,155,188
"JUNB",122,187,106,8
"JUND",194,192,193,192
"KLF1",23,55,9,145
"KLF10",70,36,45,5
"KLF3",51,136,142,94
"KLF4",123,34,167,170
"KLF9",166,190,178,160
"KMT2A",92,26,54,24
"LHX2",153,80,175,18
"MAF",102,102,86,7
"MAFF",37,99,150,113
"MAFK",76,142,75,45
"MECOM",177,89,137,173
"MEF2A",112,128,44,59
"MEF2C",60,58,129,75
"MEIS1",17,111,8,159
"MITF",108,16,50,14
"MNT",68,138,26,114
"MXI1",19,95,112,58
"MYB",165,10,98,2
"MYBL2",83,20,82,66
"MYC",163,137,116,55
"MYOD1",116,27,12,53
"NANOG",135,109,62,131
"NFAT5",48,94,109,128
"NFATC1",69,170,72,123
"NFE2",22,15,140,135
"NFIC",30,135,21,99
"NFYA",158,189,186,88
"NFYB",132,69,85,21
"NKX2-1",13,50,80,136
"NR2C2",120,19,136,102
"NR2F2",44,88,172,191
"NRF1",11,153,91,32
"ONECUT1",91,92,40,116
"OTX2",160,68,103,140
"PAX5",173,101,177,43
"PBX1",41,2,7,4
"PBX3",105,117,90,189
"PGR",71,118,156,82
"POU2F1",95,125,23,57
"POU2F2",93,85,42,80
"PPARG",114,152,89,115
"PRDM1",156,161,130,108
"PRDM14",155,67,104,118
"RARG",168,60,52,156
"RBPJ",138,139,57,134
"RELA",187,174,190,133
"REST",134,129,180,103
"RFX2",46,17,56,186
"RFX5",90,122,110,158
"RUNX1",128,47,36,49
"RUNX2",85,90,77,146
"RUNX3",154,179,148,91
"RXRA",136,145,79,144
"RXRG",15,132,134,141
"SETDB1",89,83,55,56
"SIX5",117,119,24,104
"SMAD3",152,21,67,127
"SOX17",54,59,65,77
"SP1",24,77,49,92
"SP4",73,175,97,84
"SPI1",65,168,152,193
"SPIB",131,165,70,110
"SREBF1",149,62,164,83
"SRF",189,86,147,165
"STAT1",39,63,173,31
"STAT2",129,72,63,139
"STAT3",172,185,188,168
"STAT4",12,40,35,20
"STAT5A",79,126,46,184
"STAT5B",148,154,118,78
"TBP",180,39,14,109
"TCF12",47,96,168,190
"TCF21",140,98,138,167
"TCF3",191,193,187,120
