"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",105,23,143,55
"AR",11,100,7,143
"ARID3A",47,185,56,23
"ARNT",29,166,101,12
"ARNTL",92,165,51,54
"ASCL1",163,153,179,46
"ASCL2",85,141,78,118
"ATF1",175,182,140,71
"ATF2",158,163,184,135
"ATF3",2,51,20,13
"BACH1",131,74,180,49
"BACH2",12,152,32,112
"BARX2",88,89,136,73
"BATF",139,191,172,50
"BCL11A",25,167,23,142
"BCL6",72,133,64,156
"BHLHE40",41,187,163,194
"CEBPA",9,109,53,2
"CEBPB",181,42,175,94
"CEBPD",48,162,110,182
"CLOCK",4,138,4,15
"CTCF",103,72,57,173
"CTCFL",97,161,16,67
"DUX4",46,45,52,141
"E2F1",1,32,14,1
"E2F2",6,92,3,87
"E2F3",31,57,153,184
"E2F4",27,62,30,59
"E2F6",162,28,84,178
"E2F7",36,111,24,119
"E2F8",173,190,185,126
"EBF1",174,171,80,134
"EGR1",108,64,132,177
"EGR2",65,71,96,84
"EHF",185,168,186,169
"ELF1",133,36,73,7
"ELK1",51,22,54,117
"ELK3",30,103,72,175
"ELK4",154,126,88,106
"EPAS1",32,33,63,34
"ESR1",33,8,40,8
"ESR2",104,19,79,56
"ESRRA",78,1,26,166
"ETS2",180,192,154,89
"ETV1",160,189,135,129
"ETV5",130,86,47,96
"ETV6",193,193,193,192
"ETV7",121,154,119,80
"FOS",14,73,86,47
"FOSL1",84,24,123,114
"FOSL2",52,119,21,148
"FOXA1",184,55,151,183
"FOXA2",24,11,36,72
"FOXD2",39,108,42,82
"FOXG1",114,20,66,155
"FOXH1",159,40,165,180
"FOXK1",80,174,133,153
"FOXM1",129,91,117,164
"FOXO3",109,27,19,127
"FOXP1",81,179,70,154
"FOXP2",73,146,39,57
"FOXP3",155,106,162,123
"GATA1",45,2,87,191
"GATA2",125,84,61,58
"GATA3",55,15,43,91
"GATA4",68,65,37,137
"GLI2",110,93,22,60
"GLIS1",66,46,98,37
"GMEB1",96,70,74,31
"GMEB2",115,136,109,6
"GRHL2",18,66,60,33
"GTF2B",192,85,192,193
"GTF2I",102,145,65,109
"HEY1",40,48,10,79
"HIF1A",128,9,171,93
"HINFP",82,68,68,17
"HNF1B",94,76,147,172
"HNF4A",37,16,9,179
"HNF4G",132,60,121,101
"HOXA1",150,53,150,45
"HOXA4",186,63,188,105
"HOXA6",152,131,138,162
"HOXB13",76,143,107,26
"HOXC6",98,178,155,185
"HSF1",49,43,46,42
"HSF2",178,160,170,158
"IRF1",148,77,177,188
"IRF2",120,95,146,21
"IRF3",182,82,129,27
"IRF4",23,144,25,144
"JUN",111,137,141,108
"JUNB",56,29,97,5
"JUND",194,194,194,149
"KLF1",119,121,89,124
"KLF10",100,14,12,22
"KLF3",190,134,190,163
"KLF4",75,150,169,20
"KLF9",189,67,116,103
