"","P1_2020Oct","P2_2021Mar"
"AHR",126,33
"AR",73,2
"ARID3A",172,148
"ARNT",4,105
"ARNTL",53,45
"ASCL2",66,19
"ATF1",58,112
"ATF2",94,140
"ATF3",182,149
"BACH1",103,25
"BACH2",80,3
"BARX2",60,115
"BATF",119,56
"BCL11A",127,15
"BCL6",125,95
"BHLHE40",165,84
"CEBPA",110,29
"CEBPD",143,34
"CLOCK",92,1
"CTCF",167,104
"E2F2",173,166
"E2F3",22,28
"E2F4",20,92
"E2F6",75,161
"E2F7",156,100
"E2F8",72,126
"EBF1",113,6
"EGR1",151,168
"EGR2",169,176
"EHF",79,117
"ELF1",160,23
"ELK1",85,42
"ELK3",81,90
"ELK4",168,118
"EPAS1",147,110
"ESR1",74,162
"ESR2",40,80
"ESRRA",104,5
"ETS2",140,146
"ETV1",179,177
"ETV5",33,135
"ETV6",141,119
"ETV7",159,32
"FOS",170,150
"FOSL1",114,83
"FOSL2",84,96
"FOXD2",25,46
"FOXH1",166,16
"FOXK1",146,151
"FOXM1",57,171
"FOXO3",95,103
"FOXP1",180,57
"FOXP2",29,159
"FOXP3",163,172
"GATA1",7,18
"GATA2",55,174
"GATA3",137,82
"GATA4",51,122
"GLI2",157,76
"GLIS1",61,37
"GMEB1",50,55
"GMEB2",34,13
"GRHL2",13,77
"GTF2B",54,182
"GTF2I",3,7
"HEY1",8,99
"HIF1A",90,107
"HINFP",98,127
"HNF1B",70,120
"HNF4A",106,144
"HNF4G",112,116
"HOXA1",45,121
"HOXA4",111,94
"HOXB13",18,88
"HOXC6",10,63
"HSF1",89,93
"HSF2",101,163
"IRF2",68,60
"IRF3",174,89
"IRF4",23,137
"JUN",105,134
"JUNB",35,143
"JUND",161,183
"KLF1",21,40
"KLF10",44,153
"KLF3",5,109
"KLF4",132,164
"KLF9",181,30
"KMT2A",93,108
"LHX2",144,131
"MAF",123,173
"MAFF",47,74
"MAFK",26,128
"MECOM",178,157
"MEF2A",69,35
"MEF2C",17,24
"MEIS1",88,91
"MITF",97,113
"MNT",117,147
"MXI1",77,106
"MYB",65,179
"MYBL2",39,67
"MYC",122,65
"NANOG",96,85
"NFAT5",136,138
"NFATC1",49,73
"NFE2",15,123
"NFIC",28,50
"NFYA",31,49
"NFYB",19,97
"NKX2-1",148,43
"NR2C2",175,79
"NR2F2",24,111
"NRF1",150,48
"PAX5",56,98
"PAX6",9,78
"PBX1",154,61
"PBX3",164,114
"PGR",116,26
"POU2F1",107,132
"POU2F2",145,152
"PPARG",16,81
"PRDM1",62,167
"RARA",124,178
"RARG",131,52
"RBPJ",130,87
"RELA",6,158
"REST",76,125
"RFX2",36,27
"RFX5",86,11
"RUNX1",102,21
"RUNX2",118,62
"RUNX3",12,139
"RXRA",32,10
"RXRG",133,180
"SETDB1",99,130
"SIX5",11,141
"SMAD3",149,142
"SOX17",142,4
"SP1",52,71
"SP4",115,75
"SPDEF",67,12
"SPI1",48,133
"SPIB",152,39
"SREBF1",64,54
"SRF",158,124
"STAT1",43,86
"STAT2",82,156
"STAT3",109,59
"STAT4",63,31
"STAT5A",83,20
"STAT5B",121,22
"TBP",135,170
"TBX21",37,36
"TCF12",2,68
"TCF21",128,8
"TCF3",183,154
"TCF4",176,129
"TCF7L2",59,47
"TEAD4",138,69
"TFAP2A",46,165
"TFAP2C",134,181
"TFAP4",153,17
"TFDP1",108,14
"THAP1",27,9
"TP63",177,155
"TP73",14,136
"USF1",120,160
"USF2",162,72
"VDR",91,66
"VEZF1",129,70
"XBP1",139,175
"YY1",100,169
"ZBTB33",155,102
"ZBTB7A",87,64
"ZBTB7B",171,51
"ZEB1",41,38
"ZFX",42,53
"ZKSCAN1",38,44
"ZNF143",78,101
"ZNF263",1,58
"ZNF384",30,41
"ZNF76",71,145
