"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",115,135,106,154
"AR",32,6,5,68
"ARID3A",44,10,25,25
"ARNT",66,111,93,135
"ARNTL",100,100,30,40
"ASCL1",85,136,125,121
"ASCL2",69,91,99,59
"ATF1",138,172,184,131
"ATF2",174,190,173,190
"ATF3",173,25,185,45
"BACH1",163,176,137,172
"BACH2",12,45,52,26
"BARX2",55,130,102,84
"BATF",116,120,133,148
"BCL11A",74,39,121,6
"BCL6",75,65,22,79
"BHLHE40",15,159,79,27
"CEBPA",141,115,61,47
"CEBPB",1,106,144,78
"CEBPD",8,117,71,99
"CLOCK",26,3,150,33
"CTCF",190,83,127,175
"CTCFL",65,15,28,58
"DUX4",45,80,37,29
"E2F1",2,7,26,15
"E2F2",36,4,34,11
"E2F3",177,168,156,159
"E2F4",43,23,64,129
"E2F6",186,75,91,168
"E2F7",3,12,1,38
"E2F8",134,170,38,177
"EBF1",54,49,66,178
"EGR1",31,182,131,122
"EGR2",51,108,78,56
"EHF",158,184,194,183
"ELF1",41,53,115,3
"ELK1",46,86,39,114
"ELK3",89,67,130,101
"ELK4",60,167,98,136
"EPAS1",82,60,170,87
"ESR1",14,36,160,73
"ESR2",17,156,88,35
"ESRRA",33,16,17,36
"ETS2",176,113,149,134
"ETV1",125,97,6,142
"ETV5",77,28,47,37
"ETV6",191,193,190,193
"ETV7",142,133,147,170
"FOS",50,63,134,149
"FOSL1",136,93,46,14
"FOSL2",52,35,4,5
"FOXA1",193,187,57,189
"FOXA2",53,1,8,1
"FOXD2",94,66,32,123
"FOXG1",144,38,36,22
"FOXH1",109,103,11,160
"FOXK1",112,142,143,132
"FOXM1",93,146,165,137
"FOXO3",143,48,62,125
"FOXP1",121,151,73,144
"FOXP2",80,46,60,16
"FOXP3",157,124,41,182
"GATA1",40,69,20,63
"GATA2",49,90,183,85
"GATA3",146,43,95,127
"GATA4",122,73,49,105
"GLI2",96,55,12,17
"GLIS1",9,87,55,130
"GMEB1",128,119,70,80
"GMEB2",42,143,179,39
"GRHL2",18,21,75,30
"GTF2B",194,194,189,167
"GTF2I",34,89,126,103
"HEY1",88,27,51,94
"HIF1A",126,122,97,157
"HINFP",95,145,69,53
"HNF1B",179,127,136,83
"HNF4A",38,24,118,23
"HNF4G",98,50,63,115
"HOXA1",156,179,114,169
"HOXA4",169,186,169,150
"HOXA6",120,173,123,117
"HOXB13",28,107,148,67
"HOXC6",165,141,174,152
"HSF1",83,54,54,95
"HSF2",185,175,181,184
"IRF1",139,126,186,179
"IRF2",81,132,135,111
"IRF3",181,160,161,88
